date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                tweet_id,likes,retweets,replies,quote_count,original_tweet_id
2020-03-12 12:22:42,RadioLgn,False,False,Si te has llevado kilos y kilos de pasta del supermercado los últimos días por el coronavirus...¡conoce un montón de formas de prepararla junto a #ComilonaJiménez! 👉🏼https://t.co/8PhUMFP9z2 https://t.co/4cr3IUVdhl,,,,,,1238077959203946496,0,0,0,0,
2020-03-12 12:22:49,June4th,False,False,"'Access to clean water is a basic human right': Detroit suspends shutoffs over Covid-19 fears | US news | The Guardian"" ( https://t.co/wY4BUVX8Xl )""",,,,,,1238077989713297408,0,0,0,0,
2020-03-12 12:22:50,munozirene_,False,True,Se suspenden las clases en murcia con 26 casos y en Castilla y Leon no se hace ABSOLUTAMENTE NADA. @sanidadgob @oscar_puente_ @112cyl @sacyl @UVa_es @DGCyL @CyL,Casos de #Coronavirus en España  actualizados a las 13h de hoy:  Andalucía 115 Aragón 64 Asturias 47 Baleares 22 Ca… https://t.co/ZAzv4Fs8uG,,,,,1238077993865666560,0,0,0,0,
2020-03-12 12:23:18,BrenWark,True,False,RT @CTVNews: Keeping hospitals and health-care workers safe is key to fighting pandemic: experts https://t.co/mioxUVgVvM https://t.co/pcBBw…,,,,,,1238078111352098816,0,0,0,0,1238076133909958656
2020-03-12 12:23:35,judyann451,False,False,First Congressional Staffer Tests Positive for Coronavirus https://t.co/voeT0aUVwP,,,,,,1238078182546341888,0,0,0,0,
2020-03-12 12:23:38,Independent,False,False,12 inmates dead and 16 escape as Italy prisoners riot over coronavirus lockdown measures https://t.co/X3raUVqL2M,,,,,,1238078194810531840,0,0,0,0,
2020-03-12 12:24:03,queergeoff,True,False,RT @NTEUVictoria: Woolworths to pay casual workers who miss shifts due to coronavirus.  RT if you think the tertiary education sector shoul…,,,,,,1238078299688984576,0,0,0,0,1237956935464267776
2020-03-12 12:24:19,zurditasensible,True,False,RT @Dr_Otorongo: Efecto de lavado d manos con agua y jabón: Con luz ultravioleta los gérmenes brillan (turquesa) 1) Antes de lavarse 2) Enj…,,,,,,1238078367288573952,0,0,0,0,1237930688000806912
2020-03-12 12:24:25,ADR9Music,True,False,RT @Independent: 12 inmates dead and 16 escape as Italy prisoners riot over coronavirus lockdown measures https://t.co/X3raUVqL2M,,,,,,1238078391934386179,0,0,0,0,1238078194810531840
2020-03-12 12:24:34,monaqaiser,True,False,RT @CTVNews: Keeping hospitals and health-care workers safe is key to fighting pandemic: experts https://t.co/mioxUVgVvM https://t.co/pcBBw…,,,,,,1238078430404587524,0,0,0,0,1238076133909958656
2020-03-12 12:24:42,cherryasfruit,True,False,RT @HumanoHostil: Lo peor del Coronavirus que me la tengo que comer de arriba por gente que ESTUVO FUERA DEL PAÍS cuando yo en vacaciones n…,,,,,,1238078463497691136,0,0,0,0,1237189081043525633
2020-03-12 12:25:06,qruinn,True,False,RT @Mentimoen: Tally kasus Coronavirus terakhir. https://t.co/6UVsHSZXAi,,,,,,1238078564567633921,0,0,0,0,1238075590412054528
2020-03-12 12:25:07,ArrogantDemon,True,False,RT @Kennymack1971: Not eating at a Asian food spot because you're scared of the Coronavirus... https://t.co/xd61UVpJJ3,,,,,,1238078568376274951,0,0,0,0,1238076170446475264
2020-03-12 12:25:08,elcivismo,False,False,Coronavirus: suspenden las clases en tres cursos en forma preventiva en el Colegio Maristas. https://t.co/ubatDWaiUQ https://t.co/UVcCln1wMp,,,,,,1238078572390121472,0,0,0,0,
2020-03-12 12:25:26,Manublanc6,True,False,RT @el_pais: La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se plantea poner…,,,,,,1238078647694737409,0,0,0,0,1238063688944422914
2020-03-12 12:28:15,Hans_el_Erizo,True,False,RT @Dr_Otorongo: Efecto de lavado d manos con agua y jabón: Con luz ultravioleta los gérmenes brillan (turquesa) 1) Antes de lavarse 2) Enj…,,,,,,1238079356393721857,0,0,0,0,1237930688000806912
2020-03-12 12:28:18,ireneurios,True,True,"RT @palzaga: No basta con usar las UVI""  hay que poner todos los hospitales bajo la gestión del Estado. Todas las instalaciones y recursos…""",La comunidad de Madrid usará las UVIs de los hospitales privados  deja sin vacaciones al personal sanitario y se pl… https://t.co/CHoBmuo579,,,,,1238079369064648705,0,0,0,0,1238066755425251328
2020-03-12 12:28:25,metrofla,True,False,RT @Kennymack1971: Not eating at a Asian food spot because you're scared of the Coronavirus... https://t.co/xd61UVpJJ3,,,,,,1238079398571630593,0,0,0,0,1238076170446475264
2020-03-12 12:28:29,eva_evascott024,True,False,RT @jrarribas: En los hospitales con COVID-19 Nos estamos quedando sin equipos de protección  Nos podemos quedar sin  camas de UVI La respu…,,,,,,1238079415860502529,0,0,0,0,1237270231044816899
2020-03-12 12:28:37,pertiguero70,True,False,RT @dmavicente: El #coronavirus ya está aquí. Tranquilos.Sigamos las recomendaciones de los expertos.  Hoy en @HUVMacarena no ha faltado na…,,,,,dmavicente;HUVMacarena,1238079449402310656,0,0,0,0,1237777419794341890
2020-03-12 12:29:06,wakiya_wilkins,True,False,RT @StateHealthIN: Here's some things you can do to stay informed about #COVID19: Subscribe to https://t.co/KVU1A8DBUV. Call the ISDH hotli…,,,,,,1238079570902843395,0,0,0,0,1237868430843187200
